Date,Home Team,Home xG,Away xG,Away Team,Delta_xG
Sep 18,Sporting,3.9,0.7,Kairat,3.2
Sep 18,Man City,2.21,0.22,Napoli,1.99
Sep 17,PSG,3.39,0.58,Atalanta,2.81
Sep 17,Bayern M.,2.03,0.81,Chelsea,1.2199999999999998
Sep 18,Bruges,3.14,1.5,Monaco,1.6400000000000001
Sep 17,Liverpool,2.57,0.83,Atlético,1.7399999999999998
Sep 16,PSV,2.21,3.09,Saint-Gilloise,-0.8799999999999999
Sep 16,Real Madrid,3.65,0.86,Marseille,2.79
Sep 16,Athletic,0.48,1.3,Arsenal,-0.8200000000000001
Sep 18,Copenhagen,1.88,1.29,Bayer,0.5899999999999999
Sep 16,Juventus,2.01,1.66,Borussia D.,0.34999999999999987
Sep 16,Tottenham,0.58,0.51,Villarreal,0.06999999999999995
Sep 16,Benfica,1.41,1.56,Karabakh,-0.15000000000000013
Sep 18,Newcastle,1.29,1.15,Barcelona,0.14000000000000012
Sep 17,Ajax,1.14,1.31,Inter,-0.17000000000000015
Sep 17,Olympiacos,1.5,0.33,Pafos,1.17
Sep 17,Slavia,3.79,2.37,Bodø-Glimt,1.42
Sep 18,Eintracht,1.24,1.12,Galatasaray,0.11999999999999988
Sep 30,Atlético,4.59,0.64,Eintracht,3.9499999999999997
Sep 30,Pafos,0.43,4.58,Bayern M.,-4.15
Sep 30,Inter,3.91,0.1,Slavia,3.81
Oct 1,Arsenal,2.81,0.51,Olympiacos,2.3
Oct 1,Monaco,1.43,1.54,Man City,-0.1100000000000001
Sep 30,Kairat,0.42,3.54,Real Madrid,-3.12
Sep 30,Atalanta,2.81,0.85,Bruges,1.96
Oct 1,Karabakh,1.97,0.9,Copenhagen,1.0699999999999998
Oct 1,Villarreal,1.73,1.5,Juventus,0.22999999999999998
Oct 1,Saint-Gilloise,0.87,2.8,Newcastle,-1.9299999999999997
Oct 1,Barcelona,1.21,1.65,PSG,-0.43999999999999995
Sep 30,Chelsea,0.95,0.82,Benfica,0.13
Sep 30,Bodø-Glimt,2.4,1.43,Tottenham,0.97
Oct 1,Bayer,1.73,0.52,PSV,1.21
Oct 1,Borussia D.,1.26,0.97,Athletic,0.29000000000000004
Sep 30,Marseille,1.23,0.81,Ajax,0.41999999999999993
Oct 1,Napoli,0.89,1.38,Sporting,-0.4899999999999999
Sep 30,Galatasaray,1.31,1.72,Liverpool,-0.4099999999999999
Oct 22,Bayern M.,4.06,0.25,Bruges,3.8099999999999996
Oct 21,Newcastle,2.68,0.32,Benfica,2.3600000000000003
Oct 22,Galatasaray,3.9,1.39,Bodø-Glimt,2.51
Oct 22,Athletic,3.3,0.52,Karabakh,2.78
Oct 22,Chelsea,3.63,1.01,Ajax,2.62
Oct 21,Saint-Gilloise,1.05,4.37,Inter,-3.3200000000000003
Oct 22,Eintracht,0.33,3.25,Liverpool,-2.92
Oct 22,Sporting,1.17,0.6,Marseille,0.57
Oct 21,Barcelona,2.74,1.0,Olympiacos,1.7400000000000002
Oct 21,Arsenal,2.27,0.62,Atlético,1.65
